strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
Wien I	483139	GCF_002600585.1	True	Scaffold		83597486	14627.0	29989.0	710.0	30.0x	49.5	Full annotation	GCA_002600585.1	Cystoisospora suis	483139	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,242060,483139	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Cystoisospora	Cystoisospora suis		https://genome.ucsc.edu/h/GCF_002600585.1	GCA_002600585.1	GCF_002600585.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/600/585/GCF_002600585.1/genes/GCF_002600585.1_ASM260058v1.ncbiRefSeq.gtf.gz
IBT 24754	1392256	GCF_002846915.1	True	Contig		27718211				26.4x	44.0	Full annotation	GCA_002846915.2	Aspergillus ochraceoroseus	138278	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720870,138278,1392256	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ochraceoroseus	Aspergillus ochraceoroseus IBT 24754	https://genome.ucsc.edu/h/GCF_002846915.1	GCA_002846915.2	GCF_002846915.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/846/915/GCF_002846915.1/genes/GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1.ncbiRefSeq.gtf.gz
ALCF2SS1-7	1328758	GCF_003813185.1	True	Scaffold		39530113	207.0	846108.0	11.0	96.2x	56.0	Full annotation	GCA_003813185.1	Lentinus tigrinus	5365	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,5317,5357,5365,1328758	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus tigrinus	Lentinus tigrinus ALCF2SS1-7	https://genome.ucsc.edu/h/GCA_003813185.1	GCA_003813185.1	GCF_003813185.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/003/813/185/GCF_003813185.1/genes/GCF_003813185.1_Lenti7_1.ncbiRefSeq.gtf.gz
5110	1398154	GCF_000820605.1	True	Contig		33205847				20.0x	54.5	Full annotation	GCA_000820605.1	Sporothrix brasiliensis	545650	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5151,5152,29907,545650,1398154	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix brasiliensis	Sporothrix brasiliensis 5110	https://genome.ucsc.edu/h/GCF_000820605.1	GCA_000820605.1	GCF_000820605.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/820/605/GCF_000820605.1/genes/GCF_000820605.1_S_brasiliensis_5110_v1.ncbiRefSeq.gtf.gz
Miyake	189622	GCF_002897235.1	True	Contig		14453397					49.5	Full annotation	GCA_002897235.1	Babesia ovata	189622	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,189622	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia ovata		https://genome.ucsc.edu/h/GCF_002897235.1	GCA_002897235.1	GCF_002897235.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/897/235/GCF_002897235.1/genes/GCF_002897235.1_Bovata_7.1.ncbiRefSeq.gtf.gz
IBT 28561	1392248	GCF_002847485.1	True	Contig		28257496				26.0x	51.0	Full annotation	GCA_002847485.1	Aspergillus campestris	41068	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,41068,1392248	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus campestris	Aspergillus campestris IBT 28561	https://genome.ucsc.edu/h/GCF_002847485.1	GCA_002847485.1	GCF_002847485.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/847/485/GCF_002847485.1/genes/GCF_002847485.1_Aspcam1.ncbiRefSeq.gtf.gz
PA203	2049356	GCF_001643675.1	True	Contig		82301135				110.0x	37.0	Full annotation	GCA_001643675.2	Monocercomonoides exilis	2049356	1,131567,2759,2611341,2662611,66288,302780,302781,2049356	Metamonada	Eukaryota			Preaxostyla		Oxymonadida	Polymastigidae	Monocercomonoides	Monocercomonoides exilis		https://genome.ucsc.edu/h/GCA_001643675.2	GCA_001643675.2	GCF_001643675.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/643/675/GCF_001643675.1/genes/GCF_001643675.1_ASM164367v2.ncbiRefSeq.gtf.gz
CBS 102226	1442371	GCF_000836435.1	True	Scaffold		33447075	67.0	963319.0	11.0	176.0x	52.5	Full annotation	GCA_000836435.1	Fonsecaea multimorphosa	979981	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451870,34395,43219,40354,979981,1442371	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea multimorphosa	Fonsecaea multimorphosa CBS 102226	https://genome.ucsc.edu/h/GCF_000836435.1	GCA_000836435.1	GCF_000836435.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/836/435/GCF_000836435.1/genes/GCF_000836435.1_Fons_mult_CBS_102226_V1.ncbiRefSeq.gtf.gz
	310047	GCF_009768925.1	True	Scaffold		9111170	55.0	444382.0	8.0	196.0x	30.5	Full annotation	GCA_009768925.2	Cryptosporidium bovis	310047	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,310047	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium bovis		https://genome.ucsc.edu/h/GCF_009768925.1	GCA_009768925.2	GCF_009768925.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/768/925/GCF_009768925.1/genes/GCF_009768925.1_ASM976892v2.ncbiRefSeq.gtf.gz
JUm2807	1805483	GCF_001642395.1	True	Scaffold		3066400	42.0	440850.0	3.0	2500.0x	49.0	Full annotation	GCA_001642395.1	Nematocida displodere	1805483	1,131567,2759,33154,4751,112252,6029,469895,586132,1805483	Microsporidia	Eukaryota		Fungi	Microsporidia				Nematocida	Nematocida displodere		https://genome.ucsc.edu/h/GCA_001642395.1	GCA_001642395.1	GCF_001642395.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/642/395/GCF_001642395.1/genes/GCF_001642395.1_ASM164239v1.ncbiRefSeq.gtf.gz
	515981	GCF_009792415.1	True	Scaffold		9059344	93.0	274294.0	13.0	142.5x	33.0	Full annotation	GCA_009792415.2	Cryptosporidium ryanae	515981	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,515981	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium ryanae		https://genome.ucsc.edu/h/GCF_009792415.1	GCA_009792415.2	GCF_009792415.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/792/415/GCF_009792415.1/genes/GCF_009792415.1_ASM979241v2.ncbiRefSeq.gtf.gz
OC4	1354746	GCF_000803265.1	True	Contig		2290528				627.0x	38.5	Full annotation	GCA_000803265.1	Ordospora colligata	174685	1,131567,2759,33154,4751,112252,6029,469895,174683,174684,174685,1354746	Microsporidia	Eukaryota		Fungi	Microsporidia			Ordosporidae	Ordospora	Ordospora colligata	Ordospora colligata OC4	https://genome.ucsc.edu/h/GCF_000803265.1	GCA_000803265.1	GCF_000803265.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/803/265/GCF_000803265.1/genes/GCF_000803265.1_ASM80326v1.ncbiRefSeq.gtf.gz
ERTm6	1913371	GCF_000738915.1	True	Scaffold		4276041	24.0	797226.0	3.0	118.0x	38.5	Full annotation	GCA_000738915.1	Nematocida ausubeli	1913371	1,131567,2759,33154,4751,112252,6029,469895,586132,1913371	Microsporidia	Eukaryota		Fungi	Microsporidia				Nematocida	Nematocida ausubeli		https://genome.ucsc.edu/h/GCF_000738915.1	GCA_000738915.1	GCF_000738915.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/738/915/GCF_000738915.1/genes/GCF_000738915.1_Nema_sp_1_ERTm6_V2.ncbiRefSeq.gtf.gz
	117008	GCF_001865355.1	True	Scaffold		9088557	135.0	174697.0	16.0	150.0x	28.5	Full annotation	GCA_001865355.1	Cryptosporidium andersoni	117008	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,117008	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium andersoni		https://genome.ucsc.edu/h/GCF_001865355.1	GCA_001865355.1	GCF_001865355.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/865/355/GCF_001865355.1/genes/GCF_001865355.1_ASM186535v1.ncbiRefSeq.gtf.gz
HMR AF 39	41047	GCF_002237265.1	True	Contig		30945974				5.0x	50.0	Full annotation	GCA_002237265.2	Aspergillus thermomutatus	41047	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720872,41047	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus thermomutatus		https://genome.ucsc.edu/h/GCF_002237265.1	GCA_002237265.2	GCF_002237265.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/237/265/GCF_002237265.1/genes/GCF_002237265.1_ASM223726v2.ncbiRefSeq.gtf.gz
San Antonio 1	1237626	GCF_000524495.1	True	Scaffold		27405027	323.0	681137.0	12.0	35.0x	42.0		GCA_000524495.1	Plasmodium inui	52288	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418103,52288,1237626	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium inui	Plasmodium inui San Antonio 1	https://genome.ucsc.edu/h/GCF_000524495.1	GCA_000524495.1	GCF_000524495.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/524/495/GCF_000524495.1/genes/GCF_000524495.1_Plas_inui_San_Antonio_1_V1.ncbiRefSeq.gtf.gz
	67003	GCF_002087225.1	True	Scaffold		29822211	319.0	517122.0	19.0	100.0x	40.0	Full annotation	GCA_002087225.1	Trypanosoma theileri	67003	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,669453,67003	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma theileri		https://genome.ucsc.edu/h/GCF_002087225.1	GCA_002087225.1	GCF_002087225.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/087/225/GCF_002087225.1/genes/GCF_002087225.1_Tth_v3.ncbiRefSeq.gtf.gz
ANR4	71804	GCF_000691245.1	True	Scaffold		20934132	2871.0	16775.0	354.0	10.0x	54.0		GCA_000691245.1	Trypanosoma grayi	71804	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,669453,71804	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma grayi		https://genome.ucsc.edu/h/GCF_000691245.1	GCA_000691245.1	GCF_000691245.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/691/245/GCF_000691245.1/genes/GCF_000691245.1_Tgr_V1.ncbiRefSeq.gtf.gz
nilgiri	5857	GCF_000956335.1	True	Scaffold		25878926	247.0	306380.0	29.0		41.5	Full annotation	GCA_000956335.1	Plasmodium fragile	5857	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418103,5857	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium fragile		https://genome.ucsc.edu/h/GCF_000956335.1	GCA_000956335.1	GCF_000956335.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/956/335/GCF_000956335.1/genes/GCF_000956335.1_Plas_frag_nilgiri_V1.ncbiRefSeq.gtf.gz
OVI	5694	GCF_001457755.1	True	Scaffold		26228029	2026.0	38149.0	180.0	104.0x	46.0	Full annotation	GCA_001457755.2	Trypanosoma equiperdum	5694	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,39700,5694	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma equiperdum		https://genome.ucsc.edu/h/GCF_001457755.1	GCA_001457755.2	GCF_001457755.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/457/755/GCF_001457755.1/genes/GCF_001457755.1_Trypanosoma_equiperdum_OVI_V2.ncbiRefSeq.gtf.gz
	2697049	GCF_009858895.2	False	Complete Genome	1.0	29903	1.0	29903.0	1.0		38.0		GCA_009858895.3	Severe acute respiratory syndrome-related coronavirus	694009	1,10239,2559587,2732396,2732408,2732506,76804,2499399,11118,2501931,694002,2509511,694009,2697049	Viruses		Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus		https://genome.ucsc.edu/h/GCF_009858895.2	GCA_009858895.3	GCF_009858895.2	
Zaire-96-I-16	10244	GCF_000857045.1	False	Complete Genome	1.0	196858	1.0	196858.0	1.0		33.0		GCA_000857045.1	Monkeypox virus	10244	1,10239,2732004,2732005,2732007,2732525,2732527,10240,10241,10242,10244	Viruses		Varidnaviria	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox virus		https://genome.ucsc.edu/h/GCF_000857045.1	GCA_000857045.1	GCF_000857045.1	
	9615	GCF_014441545.1	False	Chromosome	40.0	2396858295	376.0	64037277.0	15.0	56.5x	41.0	Full annotation	GCA_014441545.1	Canis lupus	9612	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314145,33554,379584,9608,9611,9612,9615	Vertebrata	Eukaryota		Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		https://genome.ucsc.edu/h/GCF_014441545.1	GCA_014441545.1	GCF_014441545.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/014/441/545/GCF_014441545.1/genes/GCF_014441545.1_ROS_Cfam_1.0.ncbiRefSeq.gtf.gz
Xinjiang	462227	GCF_002095265.1	False	Scaffold		8447544	215.0	533301.0	6.0	160.0x	44.0	Full annotation	GCA_002095265.1	Babesia sp. Xinjiang	462227	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,323723,462227	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia sp. Xinjiang		https://genome.ucsc.edu/h/GCF_002095265.1	GCA_002095265.1	GCF_002095265.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/095/265/GCF_002095265.1/genes/GCF_002095265.1_B_xinjiang1.0.ncbiRefSeq.gtf.gz
37763	1280935	GCF_004936735.1	False	Scaffold		9052409	50.0	320570.0	8.0	188.0x	32.0	Full annotation	GCA_004936735.2	Cryptosporidium sp. chipmunk genotype I	1280935	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,203864,649395,1280935	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium sp. chipmunk genotype I		https://genome.ucsc.edu/h/GCA_004936735.2	GCA_004936735.2	GCF_004936735.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/004/936/735/GCF_004936735.1/genes/GCF_004936735.1_CCh_genotype_I.ncbiRefSeq.gtf.gz
BN/NHsdMcwi	10116	GCF_015227675.2	False	Chromosome	22.0	2647899415	175.0	135012528.0	8.0	92.0x	42.0	Updated annotation	GCA_015227675.2	Rattus norvegicus	10116	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,1963758,337687,10066,39107,10114,10116	Vertebrata	Eukaryota		Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus		https://genome.ucsc.edu/h/GCF_015227675.2	GCA_015227675.2	GCF_015227675.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/227/675/GCF_015227675.2/genes/GCF_015227675.2_mRatBN7.2.ncbiRefSeq.gtf.gz
	1518534	GCF_016920705.1	False	Chromosome	3.0	273408546	199.0	99875506.0	2.0	100.0x	44.0	Full annotation	GCA_016920705.1	Anopheles coluzzii	1518534	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,1518534	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles coluzzii		https://genome.ucsc.edu/h/GCF_016920705.1	GCA_016920705.1	GCF_016920705.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/016/920/705/GCF_016920705.1/genes/GCF_016920705.1_AcolMOP1.ncbiRefSeq.gtf.gz
B11221	498019	GCF_002775015.1	False	Scaffold		12741178	20.0	2363944.0	2.0	80.0x	45.5	Full annotation	GCA_002775015.1	Candidozyma auris	498019	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,27319,3303203,498019	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma auris		https://genome.ucsc.edu/h/GCF_002775015.1	GCA_002775015.1	GCF_002775015.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/775/015/GCF_002775015.1/genes/GCF_002775015.1_Cand_auris_B11221_V1.ncbiRefSeq.gtf.gz
6684	498019	GCF_001189475.1	False	Scaffold		12498763	99.0	267017.0	14.0	179.0x		Full annotation	GCA_001189475.1	Candidozyma auris	498019	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,27319,3303203,498019	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma auris		https://genome.ucsc.edu/h/GCF_001189475.1	GCA_001189475.1	GCF_001189475.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/189/475/GCF_001189475.1/genes/GCF_001189475.1_ASM118947v1.ncbiRefSeq.gtf.gz
	7160	GCF_001876365.2	False	Contig		2247289552				80.0x		Full annotation	GCA_001876365.2	Aedes albopictus	7160	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43817,1056966,7158,53541,7160	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		https://genome.ucsc.edu/h/GCF_001876365.2	GCA_001876365.2	GCF_001876365.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/876/365/GCF_001876365.2/genes/GCF_001876365.2_canu_80X_arrow2.2.ncbiRefSeq.gtf.gz
	7160	GCF_006496715.2	False	Scaffold		2535618872	2113.0	55702539.0	13.0	75.0x	40.5	Full annotation	GCA_006496715.1	Aedes albopictus	7160	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43817,1056966,7158,53541,7160	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		https://genome.ucsc.edu/h/GCF_006496715.2	GCA_006496715.1	GCF_006496715.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/006/496/715/GCF_006496715.2/genes/GCF_006496715.2_Aalbo_primary.1.ncbiRefSeq.gtf.gz
	6945	GCF_002892825.2	False	Contig		2081329876				92.0x	46.0	Full annotation	GCA_002892825.2	Ixodes scapularis	6945	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,6843,6854,6933,6934,6935,297308,6939,426442,6944,6945	Arthropoda	Eukaryota		Metazoa	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	Ixodes scapularis		https://genome.ucsc.edu/h/GCF_002892825.2	GCA_002892825.2	GCF_002892825.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/892/825/GCF_002892825.2/genes/GCF_002892825.2_ISE6_asm2.2_deduplicated.ncbiRefSeq.gtf.gz
CHN_HEN01	88456	GCF_000769155.1	False	Scaffold		44034411	2297.0	61202.0	217.0			Full annotation	GCA_000769155.2	Cyclospora cayetanensis	88456	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,44417,88456	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis		https://genome.ucsc.edu/h/GCF_000769155.1	GCA_000769155.2	GCF_000769155.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/769/155/GCF_000769155.1/genes/GCF_000769155.1_ASM76915v2.ncbiRefSeq.gtf.gz
CDC	5854	GCF_000723685.1	False	Scaffold		24055504	372.0	1416431.0	6.0	250.0x			GCA_000723685.1	Plasmodium reichenowi	5854	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5854	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium reichenowi		https://genome.ucsc.edu/h/GCF_000723685.1	GCA_000723685.1	GCF_000723685.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/723/685/GCF_000723685.1/genes/GCF_000723685.1_PREICH001.ncbiRefSeq.gtf.gz
	35570	GCF_001015335.1	False	Scaffold		971188624	12042.0	504651.0	509.0	66.0x	39.0	Full annotation	GCA_001015335.1	Stomoxys calcitrans	35570	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43754,7366,43910,43911,35569,35570	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Muscidae	Stomoxys	Stomoxys calcitrans		https://genome.ucsc.edu/h/GCF_001015335.1	GCA_001015335.1	GCF_001015335.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/015/335/GCF_001015335.1/genes/GCF_001015335.1_Stomoxys_calcitrans-1.0.1.ncbiRefSeq.gtf.gz
vinckei	54757	GCF_000709005.1	False	Scaffold		18221643	49.0	1653377.0	5.0	136.0x			GCA_000709005.1	Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860,54757	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCF_000709005.1	GCA_000709005.1	GCF_000709005.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/709/005/GCF_000709005.1/genes/GCF_000709005.1_Plas_vinc_vinckei_V1.ncbiRefSeq.gtf.gz
17X	5861	GCF_900002385.2	True	Complete Genome	14.0	23043114	14.0	2046250.0	5.0	100.0x	21.5	Full annotation	GCA_900002385.2	Plasmodium yoelii	5861	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5861	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium yoelii		https://genome.ucsc.edu/h/GCF_900002385.2	GCA_900002385.2	GCF_900002385.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/002/385/GCF_900002385.2/genes/GCF_900002385.2_GCA_900002385.ncbiRefSeq.gtf.gz
Silveira	443226	GCF_018416015.2	True	Complete Genome	9.0	28193268	9.0	8079863.0	2.0	475.0x	46.5	Full annotation	GCA_018416015.2	Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,443226	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii str. Silveira	https://genome.ucsc.edu/h/GCF_018416015.2	GCA_018416015.2	GCF_018416015.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/018/416/015/GCF_018416015.2/genes/GCF_018416015.2_ASM1841601v2.ncbiRefSeq.gtf.gz
	54757	GCF_900681995.1	True	Chromosome	14.0	18338688	14.0	1692345.0	5.0	155.0x	23.0	Full annotation	GCA_900681995.1	Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860,54757	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCF_900681995.1	GCA_900681995.1	GCF_900681995.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/681/995/GCF_900681995.1/genes/GCF_900681995.1_PVVCY_v1.ncbiRefSeq.gtf.gz
IMI 58289	1279085	GCF_900079805.1	True	Chromosome	12.0	43832314	12.0	4234805.0	5.0	19.0x	47.5	Full annotation	GCA_900079805.1	Fusarium fujikuroi	5127	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171627,5127,1279085	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi	Fusarium fujikuroi IMI 58289	https://genome.ucsc.edu/h/GCF_900079805.1	GCA_900079805.1	GCF_900079805.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/079/805/GCF_900079805.1/genes/GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2.ncbiRefSeq.gtf.gz
	7200	GCF_024334085.1	True	Chromosome	4.0	147838017	4.0	40620313.0	2.0	53.0x	35.5	Full annotation	GCA_024334085.1	Lutzomyia longipalpis	7200	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43787,41831,7197,7198,7199,252607,7200	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Psychodidae	Lutzomyia	Lutzomyia longipalpis		https://genome.ucsc.edu/h/GCF_024334085.1	GCA_024334085.1	GCF_024334085.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/024/334/085/GCF_024334085.1/genes/GCF_024334085.1_ASM2433408v1.ncbiRefSeq.gtf.gz
	7165	GCF_943734735.2	True	Chromosome	3.0	264451381	190.0	99149756.0	2.0	54.0x	44.5	Full annotation	GCA_943734735.2	Anopheles gambiae	7165	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,7165	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae		https://genome.ucsc.edu/h/GCF_943734735.2	GCA_943734735.2	GCF_943734735.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/genes/GCF_943734735.2_idAnoGambNW_F1_1.ncbiRefSeq.gtf.gz
