Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser	geneModelUrl
Naegleria fowleri ATCC 30863	GenBank	GCA_000499105.1	no	0	1124	0	Naegleria fowleri	ATCC 30863	AmoebaDB	5763	GCA_000499105.1_Naegleria_fowleri_1.0	GCA_000499105.1		False	Naegleria fowleri	brain-eating amoeba (ATCC 30863 2013)	https://genome.ucsc.edu/h/GCA_000499105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/499/105/GCA_000499105.1/genes/GCA_000499105.1_Naegleria_fowleri_1.0.augustus.gtf.gz
Naegleria fowleri strain ATCC 30894	INSDC	GCA_008403515.1	no	0	81	0	Naegleria fowleri	strain ATCC 30894	AmoebaDB	5763	GCF_008403515.1_ASM840351v1	GCA_008403515.1	GCF_008403515.1	False	Naegleria fowleri	brain-eating amoeba (ATCC 30894 2019)	https://genome.ucsc.edu/h/GCF_008403515.1	
Naegleria fowleri strain Ty	INSDC	GCA_014843625.1	yes	0	0	37	Naegleria fowleri	strain Ty	AmoebaDB	5763	GCA_014843625.1_ASM1484362v1	GCA_014843625.1		False	Naegleria fowleri	brain-eating amoeba (Ty 2020)	https://genome.ucsc.edu/h/GCA_014843625.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/014/843/625/GCA_014843625.1/genes/GCA_014843625.1_ASM1484362v1.augustus.gtf.gz
Nakaseomyces glabratus BG2	INSDC	GCA_014217725.1	no	0	0	13	Nakaseomyces glabratus	BG2	FungiDB	5478	GCA_014217725.1_ASM1421772v1	GCA_014217725.1		False	Nakaseomyces glabratus	budding yeast N.glabratus (BG2 2020)	https://genome.ucsc.edu/h/GCA_014217725.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/014/217/725/GCA_014217725.1/genes/GCA_014217725.1_ASM1421772v1.augustus.gtf.gz
Nakaseomyces glabratus BG3993	INSDC	GCA_020450195.1	no	0	0	13	Nakaseomyces glabratus	BG3993	FungiDB	5478	GCA_020450195.1_ASM2045019v1	GCA_020450195.1		False	Nakaseomyces glabratus	budding yeast N.glabratus (BG3993 2021)	https://genome.ucsc.edu/h/GCA_020450195.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/020/450/195/GCA_020450195.1/genes/GCA_020450195.1_ASM2045019v1.augustus.gtf.gz
Nakaseomyces glabratus CBS138 2020	INSDC	GCA_010111755.1	no	0	0	13	Nakaseomyces glabratus	CBS138 2020	FungiDB	5478	GCF_010111755.1_ASM1011175v1	GCA_010111755.1	GCF_010111755.1	True	Nakaseomyces glabratus	budding yeast N.glabratus (ATCC 2001 2020)	https://genome.ucsc.edu/h/GCF_010111755.1	
Nakaseomyces glabratus DSY562	INSDC	GCA_002219185.1	no	0	5	13	Nakaseomyces glabratus	DSY562	FungiDB	5478	GCA_002219185.1_ASM221918v1	GCA_002219185.1		False	Nakaseomyces glabratus	budding yeast N.glabratus (DSY562 2017)	https://genome.ucsc.edu/h/GCA_002219185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/219/185/GCA_002219185.1/genes/GCA_002219185.1_ASM221918v1.augustus.gtf.gz
Nosema granulosis Ou3-Ou53	INSDC	GCA_015832245.1	yes	0	1754	0	Nosema granulosis	Ou3-Ou53	MicrosporidiaDB	83296	GCA_015832245.1_ASM1583224v1	GCA_015832245.1		False	Nosema granulosis	microsporidians N.granulosis (Ou3-Ou53 2020)	https://genome.ucsc.edu/h/GCA_015832245.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/015/832/245/GCA_015832245.1/genes/GCA_015832245.1_ASM1583224v1.augustus.gtf.gz
Naegleria lovaniensis strain ATCC 30569	INSDC	GCA_003324165.2	yes	0	109	0	Naegleria lovaniensis	strain ATCC 30569	AmoebaDB	51637	GCF_003324165.1_Nlova_2.1	GCA_003324165.2	GCF_003324165.1	False	Naegleria lovaniensis	N.lovaniensis (ATCC 30569 2021)	https://genome.ucsc.edu/h/GCF_003324165.1	
Naegleria lovaniensis NL_76_15_250	INSDC	GCA_022530875.1	no	0	199	0	Naegleria lovaniensis	NL_76_15_250	AmoebaDB	51637	GCA_022530875.1_ASM2253087v1	GCA_022530875.1		False	Naegleria lovaniensis	N.lovaniensis (NL_76_15_250 2022)	https://genome.ucsc.edu/h/GCA_022530875.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/022/530/875/GCA_022530875.1/genes/GCA_022530875.1_ASM2253087v1.augustus.gtf.gz
Nematocida major JUm2507	INSDC	GCA_021653875.1	yes	0	111	0	Nematocida major	JUm2507	MicrosporidiaDB	1912982	GCF_021653875.1_ASM2165387v1	GCA_021653875.1	GCF_021653875.1	True	Nematocida major	microsporidians N.major (JUm2507 2022)	https://genome.ucsc.edu/h/GCF_021653875.1	
Ordospora colligata FI-SK-17-1	INSDC	GCA_004325055.1	no	0	26	0	Ordospora colligata	FI-SK-17-1	MicrosporidiaDB	174685	GCA_004325055.1_Ordospora_FISK_v1	GCA_004325055.1		False	Ordospora colligata	microsporidians O.colligata (FI-SK-17-1 2019)	https://genome.ucsc.edu/h/GCA_004325055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/004/325/055/GCA_004325055.1/genes/GCA_004325055.1_Ordospora_FISK_v1.augustus.gtf.gz
Ordospora colligata GB-EP-1	INSDC	GCA_004324935.1	no	0	18	0	Ordospora colligata	GB-EP-1	MicrosporidiaDB	174685	GCA_004324935.1_Ordospora_GBEP_v1	GCA_004324935.1		False	Ordospora colligata	microsporidians O.colligata (GB-EP-1 2019)	https://genome.ucsc.edu/h/GCA_004324935.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/004/324/935/GCA_004324935.1/genes/GCA_004324935.1_Ordospora_GBEP_v1.augustus.gtf.gz
Ordospora colligata NO-V-7	INSDC	GCA_004324945.1	no	0	21	0	Ordospora colligata	NO-V-7	MicrosporidiaDB	174685	GCA_004324945.1_Ordospora_NOV7_v1	GCA_004324945.1		False	Ordospora colligata	microsporidians O.colligata (NO-V-7 2019)	https://genome.ucsc.edu/h/GCA_004324945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/004/324/945/GCA_004324945.1/genes/GCA_004324945.1_Ordospora_NOV7_v1.augustus.gtf.gz
Plasmodium adleri G01	GenBank	GCA_900097015.1	yes	68	0	14	Plasmodium adleri	G01	PlasmoDB	880535	GCF_900097015.1_PADLG01	GCA_900097015.1	GCF_900097015.1	True	Plasmodium sp. gorilla clade G2	apicomplexans P.sp. gorilla clade G2 (2018)	https://genome.ucsc.edu/h/GCF_900097015.1	
Podosphaera aphanis DRCT72020	INSDC	GCA_022627015.2	yes	0	12702	0	Podosphaera aphanis	DRCT72020	FungiDB	79252	GCA_022627015.2_ASM2262701v2	GCA_022627015.2		False	Podosphaera aphanis	powdery mildews (DRCT72020 2022)	https://genome.ucsc.edu/h/GCA_022627015.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/022/627/015/GCA_022627015.2/genes/GCA_022627015.2_ASM2262701v2.augustus.gtf.gz
Phlebotomus argentipes India	INSDC	GCF_947086385.1	yes	0	64	0	Phlebotomus argentipes	India	VectorBase	94469	GCF_947086385.1_Phlebotomus_argentipes_genome_assembly	GCA_947086385.1	GCF_947086385.1	True	Phlebotomus argentipes	fly P.argentipes (2022)	https://genome.ucsc.edu/h/GCF_947086385.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/947/086/385/GCF_947086385.1/genes/GCF_947086385.1_Phlebotomus_argentipes_genome_assembly.ncbiRefSeq.gtf.gz
Phialophora attinorum CBS 131958	INSDC	GCF_001299255.1	yes	0	131	0	Phialophora attinorum	CBS 131958	FungiDB	1664694	GCF_001299255.1_ASM129925v1	GCA_001299255.1	GCF_001299255.1	True	Cyphellophora attinorum	ascomycetes P.attinorum	https://genome.ucsc.edu/h/GCF_001299255.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/299/255/GCF_001299255.1/genes/GCF_001299255.1_ASM129925v1.ncbiRefSeq.gtf.gz
Plasmodium billcollinsi G01	GenBank	GCA_900257145.2	yes	0	0	14	Plasmodium billcollinsi	G01	PlasmoDB	720590	GCA_900257145.2_Plasmodium_billcollinsi	GCA_900257145.2		False	Plasmodium sp. DRC-Itaito	apicomplexans P.sp. DRC-Itaito (2020)	https://genome.ucsc.edu/h/GCA_900257145.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/257/145/GCA_900257145.2/genes/GCA_900257145.2_Plasmodium_billcollinsi.augustus.gtf.gz
Plasmodium blacklocki G01	GenBank	GCA_900097035.1	yes	83	0	14	Plasmodium blacklocki	G01	PlasmoDB	880536	GCA_900097035.1_PBLACG01	GCA_900097035.1		False	Plasmodium sp. gorilla clade G3	apicomplexans P.sp. gorilla clade G3 (2018)	https://genome.ucsc.edu/h/GCA_900097035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/097/035/GCA_900097035.1/genes/GCA_900097035.1_PBLACG01.augustus.gtf.gz
Plasmodium brasilianum strain Bolivian I	INSDC	GCA_023973825.1	yes	0	29	14	Plasmodium brasilianum	strain Bolivian I	PlasmoDB	5824	GCF_023973825.1_ASM2397382v1	GCA_023973825.1	GCF_023973825.1	False	Plasmodium brasilianum	apicomplexans P.brasilianum (Bolivian I 2022)	https://genome.ucsc.edu/h/GCF_023973825.1	
Phytophthora cactorum 10300	INSDC	GCA_003287315.1	yes	0	4623	0	Phytophthora cactorum	10300	FungiDB	29920	GCA_003287315.1_Pcac_10300_v1	GCA_003287315.1		False	Phytophthora cactorum	downy mildews (10300 2018)	https://genome.ucsc.edu/h/GCA_003287315.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/003/287/315/GCA_003287315.1/genes/GCA_003287315.1_Pcac_10300_v1.augustus.gtf.gz
Pneumocystis canis CanA	INSDC	GCA_017788925.1	yes	0	33	0	Pneumocystis canis	CanA	FungiDB	2698477	GCA_017788925.1_ASM1778892v1	GCA_017788925.1		False	Pneumocystis canis	ascomycetes P.canis (CanA 2021)	https://genome.ucsc.edu/h/GCA_017788925.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/788/925/GCA_017788925.1/genes/GCA_017788925.1_ASM1778892v1.augustus.gtf.gz
Phytophthora cinnamomi GKB4	INSDC	GCA_018691715.1	yes	0	133	0	Phytophthora cinnamomi	GKB4	FungiDB	4785	GCA_018691715.1_ASM1869171v1	GCA_018691715.1	GCF_018691715.1	True	Phytophthora cinnamomi	downy mildews (GKB4 2021)	https://genome.ucsc.edu/h/GCA_018691715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/691/715/GCA_018691715.1/genes/GCA_018691715.1_ASM1869171v1.augustus.gtf.gz
Plasmodium coatneyi Hackeri	GenBank	GCA_001680005.1	yes	0	0	14	Plasmodium coatneyi	Hackeri	PlasmoDB	208452	GCF_001680005.1_ASM168000v1	GCA_001680005.1	GCF_001680005.1	True	Plasmodium coatneyi	apicomplexans P.coatneyi (Hackeri 2016)	https://genome.ucsc.edu/h/GCF_001680005.1	
Podospora comata strain T mat+	INSDC	GCA_900290415.1	yes	0	0	7	Podospora comata	strain T mat+	FungiDB	48703	GCA_900290415.1_version1	GCA_900290415.1		False	Podospora comata	ascomycetes P.comata (T 2018)	https://genome.ucsc.edu/h/GCA_900290415.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/290/415/GCA_900290415.1/genes/GCA_900290415.1_version1.augustus.gtf.gz
Paratrypanosoma confusum CUL13	GenBank	GCA_002921335.1	yes	1922	266	0	Paratrypanosoma confusum	CUL13	TriTrypDB	1470209	GCA_002921335.1_ASM292133v1	GCA_002921335.1		False	Paratrypanosoma confusum	Paratrypanosoma confusum (CUL13MS 2018)	https://genome.ucsc.edu/h/GCA_002921335.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/921/335/GCA_002921335.1/genes/GCA_002921335.1_ASM292133v1.augustus.gtf.gz
Peronospora effusa R13	INSDC	GCA_003843895.1	yes	0	784	0	Peronospora effusa	R13	FungiDB	542832	GCA_003843895.1_ASM384389v1	GCA_003843895.1		False	Peronospora effusa	downy mildews (R13 2018)	https://genome.ucsc.edu/h/GCA_003843895.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/003/843/895/GCA_003843895.1/genes/GCA_003843895.1_ASM384389v1.augustus.gtf.gz
Penicillium expansum d1	INSDC	GCA_000769735.1	yes	0	270	0	Penicillium expansum	d1	FungiDB	27334	GCA_000769735.1_ASM76973v1	GCA_000769735.1		False	Penicillium expansum	ascomycetes P.expansum (d1 2014)	https://genome.ucsc.edu/h/GCA_000769735.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/769/735/GCA_000769735.1/genes/GCA_000769735.1_ASM76973v1.augustus.gtf.gz
Plasmodium falciparum 7G8 2019	INSDC	GCA_009761555.1	no	0	20	0	Plasmodium falciparum	7G8 2019	PlasmoDB	5833	GCA_009761555.1_7G8_v1	GCA_009761555.1		False	Plasmodium falciparum	malaria parasite P. falciparum (7G8 2019)	https://genome.ucsc.edu/h/GCA_009761555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/761/555/GCA_009761555.1/genes/GCA_009761555.1_7G8_v1.augustus.gtf.gz
Plasmodium falciparum CD01	GenBank	GCA_900617135.1	no	5	0	14	Plasmodium falciparum	CD01	PlasmoDB	5833	GCA_900617135.1_PfCD01-2	GCA_900617135.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900617135.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/617/135/GCA_900617135.1/genes/GCA_900617135.1_PfCD01-2.augustus.gtf.gz
Plasmodium falciparum GA01	GenBank	GCA_900632005.1	no	4	0	14	Plasmodium falciparum	GA01	PlasmoDB	5833	GCA_900632005.1_PfGA01-3	GCA_900632005.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900632005.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/005/GCA_900632005.1/genes/GCA_900632005.1_PfGA01-3.augustus.gtf.gz
Plasmodium falciparum GB4	GenBank	GCA_900632035.1	no	10	0	14	Plasmodium falciparum	GB4	PlasmoDB	5833	GCA_900632035.1_PfGB4-3	GCA_900632035.1		False	Plasmodium falciparum	malaria parasite P. falciparum (GB4 2018)	https://genome.ucsc.edu/h/GCA_900632035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/035/GCA_900632035.1/genes/GCA_900632035.1_PfGB4-3.augustus.gtf.gz
Plasmodium falciparum GN01	GenBank	GCA_900631995.1	no	3	0	14	Plasmodium falciparum	GN01	PlasmoDB	5833	GCA_900631995.1_PfGN01-3	GCA_900631995.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900631995.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/631/995/GCA_900631995.1/genes/GCA_900631995.1_PfGN01-3.augustus.gtf.gz
Plasmodium falciparum IT	GenBank	GCA_900632055.1	no	11	0	14	Plasmodium falciparum	IT	PlasmoDB	5833	GCA_900632055.1_PfIT-3	GCA_900632055.1		False	Plasmodium falciparum	malaria parasite P. falciparum (type strain: I 2018)	https://genome.ucsc.edu/h/GCA_900632055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/055/GCA_900632055.1/genes/GCA_900632055.1_PfIT-3.augustus.gtf.gz
Plasmodium falciparum KE01	GenBank	GCA_900631975.1	no	5	0	14	Plasmodium falciparum	KE01	PlasmoDB	5833	GCA_900631975.1_PfKE01-3	GCA_900631975.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900631975.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/631/975/GCA_900631975.1/genes/GCA_900631975.1_PfKE01-3.augustus.gtf.gz
Plasmodium falciparum KH01	GenBank	GCA_900632025.1	no	6	0	14	Plasmodium falciparum	KH01	PlasmoDB	5833	GCA_900632025.1_PfKH01-3	GCA_900632025.1		False	Plasmodium falciparum	malaria parasite P. falciparum (KH1 2018)	https://genome.ucsc.edu/h/GCA_900632025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/025/GCA_900632025.1/genes/GCA_900632025.1_PfKH01-3.augustus.gtf.gz
Plasmodium falciparum KH02	GenBank	GCA_900632015.1	no	5	0	14	Plasmodium falciparum	KH02	PlasmoDB	5833	GCA_900632015.1_PfKH02-3	GCA_900632015.1		False	Plasmodium falciparum	malaria parasite P. falciparum (KH2 2018)	https://genome.ucsc.edu/h/GCA_900632015.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/015/GCA_900632015.1/genes/GCA_900632015.1_PfKH02-3.augustus.gtf.gz
Plasmodium falciparum ML01	GenBank	GCA_900632085.1	no	101	0	14	Plasmodium falciparum	ML01	PlasmoDB	5833	GCA_900632085.1_PfML01-3	GCA_900632085.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900632085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/085/GCA_900632085.1/genes/GCA_900632085.1_PfML01-3.augustus.gtf.gz
Plasmodium falciparum NF135.C10	INSDC	GCA_009761425.1	no	0	21	0	Plasmodium falciparum	NF135.C10	PlasmoDB	5833	GCA_009761425.1_NF135.C10_v1	GCA_009761425.1		False	Plasmodium falciparum	malaria parasite P. falciparum (NF135.C10 2019)	https://genome.ucsc.edu/h/GCA_009761425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/761/425/GCA_009761425.1/genes/GCA_009761425.1_NF135.C10_v1.augustus.gtf.gz
Plasmodium falciparum NF166	INSDC	GCA_009761515.1	no	0	30	0	Plasmodium falciparum	NF166	PlasmoDB	5833	GCA_009761515.1_NF166_v1	GCA_009761515.1		False	Plasmodium falciparum	malaria parasite P. falciparum (NF166 2019)	https://genome.ucsc.edu/h/GCA_009761515.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/761/515/GCA_009761515.1/genes/GCA_009761515.1_NF166_v1.augustus.gtf.gz
Plasmodium falciparum SD01	GenBank	GCA_900632095.1	no	4	0	13	Plasmodium falciparum	SD01	PlasmoDB	5833	GCA_900632095.1_PfSD01-3	GCA_900632095.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900632095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/095/GCA_900632095.1/genes/GCA_900632095.1_PfSD01-3.augustus.gtf.gz
Plasmodium falciparum SN01	GenBank	GCA_900632075.1	no	20	0	14	Plasmodium falciparum	SN01	PlasmoDB	5833	GCA_900632075.1_PfSN01-3	GCA_900632075.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900632075.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/075/GCA_900632075.1/genes/GCA_900632075.1_PfSN01-3.augustus.gtf.gz
Plasmodium falciparum TG01	GenBank	GCA_900632065.1	no	63	0	14	Plasmodium falciparum	TG01	PlasmoDB	5833	GCA_900632065.1_PfTG01-3	GCA_900632065.1		False	Plasmodium falciparum	malaria parasite P. falciparum (2018)	https://genome.ucsc.edu/h/GCA_900632065.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/065/GCA_900632065.1/genes/GCA_900632065.1_PfTG01-3.augustus.gtf.gz
Plasmodium fragile strain nilgiri	GenBank	GCA_000956335.1	yes	0	247	0	Plasmodium fragile	strain nilgiri	PlasmoDB	5857	GCF_000956335.1_Plas_frag_nilgiri_V1	GCA_000956335.1	GCF_000956335.1	True	Plasmodium fragile	apicomplexans P.fragile (nilgiri 2015)	https://genome.ucsc.edu/h/GCF_000956335.1	
Plasmodium gaboni strain G01	GenBank	GCA_900097045.1	no	82	0	14	Plasmodium gaboni	strain G01	PlasmoDB	647221	GCA_900097045.1_PGABG01	GCA_900097045.1		False	Plasmodium gaboni	apicomplexans P.gaboni (2021)	https://genome.ucsc.edu/h/GCA_900097045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/097/045/GCA_900097045.1/genes/GCA_900097045.1_PGABG01.augustus.gtf.gz
Plasmodium gaboni strain SY75	GenBank	GCA_001602025.1	yes	818	0	14	Plasmodium gaboni	strain SY75	PlasmoDB	647221	GCF_001602025.1_ASM160202v1	GCA_001602025.1	GCF_001602025.1	True	Plasmodium gaboni	apicomplexans P.gaboni (SY75 2016)	https://genome.ucsc.edu/h/GCF_001602025.1	
Plasmodium gallinaceum 8A	GenBank	GCA_900005855.1	yes	152	0	0	Plasmodium gallinaceum	8A	PlasmoDB	5849	GCF_900005855.1_PGAL8A	GCA_900005855.1	GCF_900005855.1	False	Plasmodium gallinaceum	apicomplexans P.gallinaceum (8A 2016)	https://genome.ucsc.edu/h/GCF_900005855.1	
Porcisia hertigi MCOE/PA/1965/C119	INSDC	GCA_017918235.1	yes	0	38	36	Porcisia hertigi	MCOE/PA/1965/C119	TriTrypDB	2761500	GCA_017918235.1_LU_Pher_1.0	GCA_017918235.1	GCF_017918235.1	True	Porcisia hertigi	Porcisia hertigi (C119 2021)	https://genome.ucsc.edu/h/GCA_017918235.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/918/235/GCA_017918235.1/genes/GCA_017918235.1_LU_Pher_1.0.augustus.gtf.gz
Pediculus humanus USDA	INSDC	GCA_000006295.1	yes	0	1882	0	Pediculus humanus	USDA	VectorBase	121224	GCF_000006295.1_JCVI_LOUSE_1.0	GCA_000006295.1	GCF_000006295.1	True	Pediculus humanus corporis	human body louse	https://genome.ucsc.edu/h/GCF_000006295.1	
Plasmodium knowlesi strain A1H1	INSDC	GCA_900162085.1	no	0	0	14	Plasmodium knowlesi	strain A1H1	PlasmoDB	5850	GCA_900162085.1_PkA1H1_v1	GCA_900162085.1		False	Plasmodium knowlesi	apicomplexans P.knowlesi (2017)	https://genome.ucsc.edu/h/GCA_900162085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/162/085/GCA_900162085.1/genes/GCA_900162085.1_PkA1H1_v1.augustus.gtf.gz
Plasmodium knowlesi strain Malayan Strain Pk1 A	GenBank	GCA_002140095.1	no	0	28	0	Plasmodium knowlesi	strain Malayan Strain Pk1 A	PlasmoDB	5850	GCA_002140095.1_PKNOHv1	GCA_002140095.1		False	Plasmodium knowlesi	apicomplexans P.knowlesi (Malayan Strain Pk1 A 2017)	https://genome.ucsc.edu/h/GCA_002140095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/140/095/GCA_002140095.1/genes/GCA_002140095.1_PKNOHv1.augustus.gtf.gz
Pichia kudriavzevii strain CBS5147	INSDC	GCA_003054405.1	no	0	0	5	Pichia kudriavzevii	strain CBS5147	FungiDB	4909	GCA_003054405.1_ASM305440v1	GCA_003054405.1		False	Pichia kudriavzevii	budding yeast P.kudriavzevii (CBS5147 2018)	https://genome.ucsc.edu/h/GCA_003054405.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/003/054/405/GCA_003054405.1/genes/GCA_003054405.1_ASM305440v1.augustus.gtf.gz
Pichia kudriavzevii strain CBS573	INSDC	GCA_003054445.1	yes	0	0	5	Pichia kudriavzevii	strain CBS573	FungiDB	4909	GCF_003054445.1_ASM305444v1	GCA_003054445.1	GCF_003054445.1	False	Pichia kudriavzevii	budding yeast P.kudriavzevii	https://genome.ucsc.edu/h/GCF_003054445.1	
Pneumocystis sp. macacae isolate P2C	INSDC	GCA_018127085.1	yes	0	3	16	Pneumocystis sp. 'macacae'	P2C	FungiDB	2698480	GCA_018127085.1_P2C.v1.0	GCA_018127085.1		False	Pneumocystis sp. 'macacae'	ascomycetes P.sp. 'macacae' (P2C 2021)	https://genome.ucsc.edu/h/GCA_018127085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/127/085/GCA_018127085.1/genes/GCA_018127085.1_P2C.v1.0.augustus.gtf.gz
Plasmodium malariae UG01	GenBank	GCA_900090045.1	yes	47	0	14	Plasmodium malariae	UG01	PlasmoDB	5858	GCF_900090045.1_PmUG01	GCA_900090045.1	GCF_900090045.1	False	Plasmodium malariae	Plasmodium malariae (2016)	https://genome.ucsc.edu/h/GCF_900090045.1	
Pseudoloma neurophilia strain MK1	GenBank	GCA_001432165.1	yes	1603	0	0	Pseudoloma neurophilia	strain MK1	MicrosporidiaDB	146866	GCA_001432165.1_ASM143216v1	GCA_001432165.1		False	Pseudoloma neurophilia	microsporidians P.neurophilia (MK1 2015)	https://genome.ucsc.edu/h/GCA_001432165.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/432/165/GCA_001432165.1/genes/GCA_001432165.1_ASM143216v1.augustus.gtf.gz
Pneumocystis oryctolagi CS1	INSDC	GCA_017311285.1	yes	0	38	0	Pneumocystis oryctolagi	CS1	FungiDB	42067	GCA_017311285.1_Pneumocystis_oryctolagi_MERGE_1.1	GCA_017311285.1		False	Pneumocystis oryctolagi	ascomycetes P.oryctolagi (RABM 2021)	https://genome.ucsc.edu/h/GCA_017311285.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/311/285/GCA_017311285.1/genes/GCA_017311285.1_Pneumocystis_oryctolagi_MERGE_1.1.augustus.gtf.gz
Plasmodium ovale curtisi GH01	GenBank	GCA_900090035.2	yes	638	0	14	Plasmodium ovale	curtisi GH01	PlasmoDB	36330	GCA_900090035.2_PocGH01	GCA_900090035.2		False	Plasmodium ovale	malaria parasite P. ovale (2016)	https://genome.ucsc.edu/h/GCA_900090035.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/090/035/GCA_900090035.2/genes/GCA_900090035.2_PocGH01.augustus.gtf.gz
Plasmodium ovale wallikeri PowCR01	INSDC	GCA_900090025.2	no	0	763	14	Plasmodium ovale	wallikeri PowCR01	PlasmoDB	36330	GCA_900090025.2_PowCR01	GCA_900090025.2		False	Plasmodium ovale	malaria parasite P. ovale (2016)	https://genome.ucsc.edu/h/GCA_900090025.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/090/025/GCA_900090025.2/genes/GCA_900090025.2_PowCR01.augustus.gtf.gz
Phytophthora palmivora var. palmivora strain sbr112.9	GenBank	GCA_002911725.1	yes	24809	0	0	Phytophthora palmivora	var. palmivora strain sbr112.9	FungiDB	4796	GCA_002911725.1_ASM291172v1	GCA_002911725.1		False	Phytophthora palmivora	downy mildews (sbr112.9 2018)	https://genome.ucsc.edu/h/GCA_002911725.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/911/725/GCA_002911725.1/genes/GCA_002911725.1_ASM291172v1.augustus.gtf.gz
Phlebotomus papatasi Israel	INSDC	GCA_000262795.1	no	0	106826	0	Phlebotomus papatasi	Israel	VectorBase	29031	GCA_000262795.1_Ppap_1.0	GCA_000262795.1		False	Phlebotomus papatasi	fly P.papatasi (2012)	https://genome.ucsc.edu/h/GCA_000262795.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/262/795/GCA_000262795.1/genes/GCA_000262795.1_Ppap_1.0.augustus.gtf.gz
Phlebotomus papatasi M1	INSDC	GCF_024763615.1	yes	0	640	5	Phlebotomus papatasi	M1	VectorBase	29031	GCF_024763615.1_Ppap_2.1	GCA_024763615.2	GCF_024763615.1	False	Phlebotomus papatasi	fly P.papatasi (M1 2022)	https://genome.ucsc.edu/h/GCF_024763615.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/024/763/615/GCF_024763615.1/genes/GCF_024763615.1_Ppap_2.1.ncbiRefSeq.gtf.gz
